Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
2000,"BHIWAPUR EDUCATION SOCIETY HIGH SCHOOL, BHIWAPUR",27091300101,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR",bhiedusoc@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2001,"BHIWAPUR EDUCATION SOCIETY GIRLS HIGH SCHOOL, BHIWAPUR",27091300201,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR",bhigirlshs@gmail.com,Private Aided,Secondary,Girls,5–10,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2002,"Z.P. HIGH SCHOOL, NAND, BHIWAPUR",27091300301,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,NAND,441201.0,"NAND, TAH. BHIWAPUR, DIST. NAGPUR",zphsnand@gmail.com,Local Body,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Nand,Nand,Bhiwapur
2003,"NAVJEEVAN VIDYALAYA, MAHALGAON",27091300401,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,MAHALGAON,441201.0,"MAHALGAON, TAH. BHIWAPUR, DIST. NAGPUR",navjeevanmahalgaon@gmail.com,Private Aided,Secondary,Co-educational,5–10,Rural,Operational,Mahalgaon,Mahalgaon,Bhiwapur
2004,"SANJO PUBLIC SCHOOL, SULEZARI",27091300501,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,SULEZARI,441201.0,"SULEZARI, TAH. BHIWAPUR, DIST. NAGPUR",sanjopublic@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Sulezari,Sulezari,Bhiwapur
2005,"VITTHALRAO CHAMAT HIGH SCHOOL, BHIWAPUR",27091300601,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,BHIWAPUR,441201.0,"BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR",vrchamaths@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2006,"SANSKAR VIDYA SAGAR, BHIWAPUR",27091300701,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR",sanskarbhiwapur@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2007,"KENDRIYA PRATHMIK VIDYALAYA, BHIWAPUR",27091300801,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR",kpvbhiwapur@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2008,"Z.P. UPS, ADYAL",27091300901,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),ADYAL,441201.0,"ADYAL, TAH. BHIWAPUR, DIST. NAGPUR",zppshadyal@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Rural,Operational,Adyal,Adyal,Bhiwapur
2009,"Z.P. PS, BHAGEBORI",27091301001,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,BHAGEBORI,441201.0,"BHAGEBORI, TAH. BHIWAPUR, DIST. NAGPUR",zppsbhagebori@gmail.com,Local Body,Primary,Co-educational,1–4,Rural,Operational,Bhagebori,Bhagebori,Bhiwapur
2010,"Z.P. PS, BHIWAPUR NO. 6",27091301101,MAHARASHTRA,NAGPUR,BHIWAPUR,BHIWAPUR (MAIN),BHIWAPUR,441201.0,"AT POST BHIWAPUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.bhiwapur11@gmail.com,Local Body,Primary,Co-educational,1–4,Urban,Operational,Bhiwapur,Bhiwapur,Bhiwapur
2011,"Z.P. UPS, KOSTIPURA",27091301201,MAHARASHTRA,NAGPUR,BHIWAPUR,KOSTIPURA,KOSTIPURA,441201.0,"AT POST KOSTIPURA, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kostipura12@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–7,Urban,Operational,Kostipura,Kostipura,Bhiwapur
2012,"Z.P. PS (BOYS), BESUR",27091301301,MAHARASHTRA,NAGPUR,BHIWAPUR,BESUR,BESUR,441201.0,"AT POST BESUR, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.besur13@gmail.com,Local Body,Primary,Boys,1–5,Rural,Operational,Besur,Besur,Bhiwapur
2013,"Z.P. PS (GIRLS), DHAMANGAON",27091301401,MAHARASHTRA,NAGPUR,BHIWAPUR,DHAMANGAON,DHAMANGAON,441201.0,"AT POST DHAMANGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.dhamangaon14@gmail.com,Local Body,Primary,Girls,1–5,Rural,Operational,Dhamangaon,Dhamangaon,Bhiwapur
2014,"SARASWATI VIDYALAYA, KARGAON",27091301501,MAHARASHTRA,NAGPUR,BHIWAPUR,KARGAON,KARGAON,441201.0,"AT POST KARGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.kargaon15@gmail.com,Private Aided,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Kargaon,Kargaon,Bhiwapur
2015,"SHARADA CONVENT, MAHALGAON NO. 2",27091301601,MAHARASHTRA,NAGPUR,BHIWAPUR,MAHALGAON,MAHALGAON,441201.0,"AT POST MAHALGAON, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.mahalgaon16@gmail.com,Private Unaided,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Mahalgaon,Mahalgaon,Bhiwapur
2016,"MODEL SCHOOL, NAND NO. 2",27091301701,MAHARASHTRA,NAGPUR,BHIWAPUR,NAND,NAND,441201.0,"AT POST NAND, TAH. BHIWAPUR, DIST. NAGPUR - 441201",sch.nand17@gmail.com,Department of Education,Pr. Up Pr. and Secondary Only,Co-educational,1–10,Rural,Operational,Nand,Nand,Bhiwapur
