Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
2200,"SC NAVBAUDDHA GIRLS GOVT RESIDENTIAL SCHOOL, WANADONGRI",27091000101,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, WANADONGRI",WANADONGRI,441110.0,"WANADONGRI, TAH. HINGNA, DIST. NAGPUR",scnavbauddhawanadongri@gmail.com,State Government,Secondary with Higher Secondary,Girls,5–12,Urban,Operational,Wanadongri,Wanadongri,Hingna
2201,"SCHOOL OF SCHOLARS, WANADONGRI, HINGNA",27091000201,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, WANADONGRI",WANADONGRI,441110.0,"WANADONGRI, TAH. HINGNA, DIST. NAGPUR",soshignawana@gmail.com,Private Unaided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Wanadongri,Wanadongri,Hingna
2202,"LT. DEVKIBAI BANG ENG. MEDIUM SCH. & JR. COLL., HINGNA",27091000301,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, HINGNA",HINGNA,441110.0,"HINGNA, TAH. HINGNA, DIST. NAGPUR",devkibaibang@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Hingna,Hingna,Hingna
2203,"G.H. RAISONI VIDYANIKETAN, CRPF CAMPUS",27091000401,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, HINGNA",CRPF CAMPUS,440019.0,"CRPF CAMPUS, TAH. HINGNA, DIST. NAGPUR",ghraisonicrpf@gmail.com,Private Unaided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Crpf Campus,Crpf Campus,Hingna
2204,"ST. XAVIERS HIGH SCHOOL, HINGNA ROAD",27091000501,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, WANADONGRI",MIDC HINGNA,440028.0,"MIDC HINGNA, TAH. HINGNA, DIST. NAGPUR",stxaviershingna@gmail.com,Private Unaided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Midc Hingna,Midc Hingna,Hingna
2205,"SARVODAY VIDYALAYA VA KANISHT MAHAVIDYALAYA, HINGNA",27091000601,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, HINGNA",HINGNA,441110.0,"HINGNA, TAH. HINGNA, DIST. NAGPUR",sarvodayhingna@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Hingna,Hingna,Hingna
2206,"SHYAMRAOJI DESHMUKH SMRUTI VIDYA MANDIR, HINGNA",27091000701,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, HINGNA",HINGNA,441110.0,"HINGNA, TAH. HINGNA, DIST. NAGPUR",deshmukhvmhingna@gmail.com,Private Aided,Secondary,Co-educational,5–10,Urban,Operational,Hingna,Hingna,Hingna
2207,"ZILLA PARISHAD HIGH SCHOOL, HINGNA",27091000801,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, HINGNA",HINGNA,441110.0,"HINGNA, TAH. HINGNA, DIST. NAGPUR",zphshingna@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Hingna,Hingna,Hingna
2208,"SARLADEVI HIGH SCHOOL, WANADONGRI",27091000901,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, WANADONGRI",WANADONGRI,441110.0,"WANADONGRI, TAH. HINGNA, DIST. NAGPUR",sarladevihs@gmail.com,Private Aided,Secondary,Co-educational,5–10,Urban,Operational,Wanadongri,Wanadongri,Hingna
2209,"Z.P. UPS, TAKALGHAT",27091001001,MAHARASHTRA,NAGPUR,HINGNA,"Z.P. PS, TAKALGHAT",TAKALGHAT,441122.0,"TAKALGHAT, TAH. HINGNA, DIST. NAGPUR",zppstakalghat@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Takalghat,Takalghat,Hingna
