Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
2500,"JINDAL VIDYA MANDIR, KALMESHWAR",27090300101,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",jvmkalmeshwar@gmail.com,Private Unaided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2501,"ST. THOMAS PUBLIC SCHOOL, KALMESHWAR",27090300201,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",stthomaspublickalmeshwar@gmail.com,Private Unaided,Secondary,Co-educational,1–10,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2502,"NAGAR PARISHAD HIGH SCHOOL, KALMESHWAR",27090300301,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",nphskalmeshwar@gmail.com,Nagar Parishad,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2503,"KRUSHNARAO WANKHEDE VIDYALAYA, MOHPA",27090300401,MAHARASHTRA,NAGPUR,KALMESHWAR,MOHPA,MOHPA,441502.0,"MOHPA, TAH. KALMESHWAR, DIST. NAGPUR",kwvmohpa@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Mohpa,Mohpa,Kalmeshwar
2504,"DEORAOJI ITANKAR PUBLIC SCHOOL, KALMESHWAR",27090300501,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",deoraojiitankar@gmail.com,Private Unaided,Secondary with Higher Secondary,Co-educational,1–12,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2505,"INDIRA GANDHI MADHYAMIK & UCHCHA MADHYAMIK VIDYALAYA, KALMESHWAR",27090300601,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",igmvkalmeshwar@gmail.com,Private Aided,Secondary with Higher Secondary,Co-educational,5–12,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2506,"GURUKRUPA ENGLISH PRIMARY SCHOOL, KALMESHWAR",27090300701,MAHARASHTRA,NAGPUR,KALMESHWAR,KALMESHWAR,KALMESHWAR,441501.0,"KALMESHWAR, TAH. KALMESHWAR, DIST. NAGPUR",gurukrupaprimary@gmail.com,Private Unaided,Primary,Co-educational,1–5,Urban,Operational,Kalmeshwar,Kalmeshwar,Kalmeshwar
2507,"Z.P. HIGH SCHOOL, DHAPEWADA",27090300801,MAHARASHTRA,NAGPUR,KALMESHWAR,DHAPEWADA,DHAPEWADA,441501.0,"DHAPEWADA, TAH. KALMESHWAR, DIST. NAGPUR",zphsdhapewada@gmail.com,Local Body,Secondary with Higher Secondary,Co-educational,5–12,Rural,Operational,Dhapewada,Dhapewada,Kalmeshwar
2508,"Z.P. UPS, BRAMHANI",27090300901,MAHARASHTRA,NAGPUR,KALMESHWAR,BRAMHANI,BRAMHANI,441501.0,"BRAMHANI, TAH. KALMESHWAR, DIST. NAGPUR",zppsbramhani@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Bramhani,Bramhani,Kalmeshwar
2509,"Z.P. UPS, TISHTI (BU)",27090301001,MAHARASHTRA,NAGPUR,KALMESHWAR,TISHTI(BU),TISHTI (BU),441501.0,"TISHTI (BU), TAH. KALMESHWAR, DIST. NAGPUR",zppstishti@gmail.com,Local Body,Primary with Upper Primary,Co-educational,1–8,Rural,Operational,Tishti (Bu),Tishti (Bu),Kalmeshwar
