Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1700,CANTONMENT BOARD ENGLISH PRY. SCH. KAMPTEE,27090500101,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",CANTONMENT KAMPTEE,441001.0,"CANTONMENT KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",cbengprykamptee@gmail.com,Cantonment Board,Primary,3-Co-educational,1–5,Urban,Operational,Cantonment Kamptee,Cantonment Kamptee,Kamptee
1701,"ST. JOSEPH'S CONVENT (E) PS, KAMPTEE",27090500201,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",stjosephskamptee@gmail.com,Private Unaided,Primary with Upper Primary,3-Co-educational,1–8,Urban,Operational,Kamptee,Kamptee,Kamptee
1702,"CENTRAL INDIA PUBLIC SCHOOL, KAMPTEE",27090500301,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",cipskamptee@gmail.com,Private Unaided,Secondary with Higher Secondary,3-Co-educational,1–12,Urban,Operational,Kamptee,Kamptee,Kamptee
1703,"KENDRIYA VIDYALAYA, KAMPTEE",27090500401,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",CANTONMENT KAMPTEE,441001.0,"CANTONMENT KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",kvkamptee@nic.in,Central Government,Secondary with Higher Secondary,3-Co-educational,1–12,Urban,Operational,Cantonment Kamptee,Cantonment Kamptee,Kamptee
1704,"ARMY PUBLIC SCHOOL, KAMPTEE",27090500501,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",CANTONMENT KAMPTEE,441001.0,"CANTONMENT KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",apskamptee@gmail.com,Central Government,Secondary with Higher Secondary,3-Co-educational,1–12,Urban,Operational,Cantonment Kamptee,Cantonment Kamptee,Kamptee
1705,"M. M. RABBANI HIGH SCHOOL & JR. COLLEGE, KAMPTEE",27090500601,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",mmrabbanikamptee@gmail.com,Private Aided,Secondary with Higher Secondary,3-Co-educational,5–12,Urban,Operational,Kamptee,Kamptee,Kamptee
1706,"DRAGON INTERNATIONAL SCHOOL, KAMPTEE",27090500701,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",DRAGON PALACE AREA,441001.0,"DRAGON PALACE AREA, TAH. KAMPTEE, DIST. NAGPUR",dragoninternationalschool@gmail.com,Private Unaided,Secondary,3-Co-educational,1–10,Urban,Operational,Dragon Palace Area,Dragon Palace Area,Kamptee
1707,"N.P. PS, PURUSHARTHI (HINDI), KAMPTEE",27090500801,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",nppspurusharthikamptee@gmail.com,Nagar Parishad,Primary,3-Co-educational,1–4,Urban,Operational,Kamptee,Kamptee,Kamptee
1708,"N.P. PS, TILAKDHARI (HINDI), KAMPTEE",27090500901,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",nppstilakdharikamptee@gmail.com,Nagar Parishad,Primary,3-Co-educational,1–4,Urban,Operational,Kamptee,Kamptee,Kamptee
1709,"N.P. UPS, URDU RUIGANJ MAIDAN, KAMPTEE",27090501001,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",npmsurdukamptee@gmail.com,Nagar Parishad,Primary with Upper Primary,3-Co-educational,1–8,Urban,Operational,Kamptee,Kamptee,Kamptee
1710,"Z.P. (M.S.) HIGH SCHOOL, KAMPTEE",27090501101,MAHARASHTRA,NAGPUR,KAMPTEE,"NAGAR PARISHAD, KAMPTEE",KAMPTEE,441001.0,"KAMPTEE, TAH. KAMPTEE, DIST. NAGPUR",zphs.kamptee@gmail.com,Local Body,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Urban,Operational,Kamptee,Kamptee,Kamptee
