Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1283,"Z.P. P.S., MOUDA",27090700101,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,AT MOUDA POST MOUDA TA MOUDA,zppsmouda@gmail.com,Local Body,Primary,3-Co-educational,1–4,Urban,Operational,,,
1284,"SHIVAJI PS ,MOUDA",27090700103,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,weekly market gujarwada mouda,shivajischool07@gmail.com,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–7,Urban,Operational,,,
1285,"DNYANGANGA  CONVENT PRIMARY SCHOOL, MOUDA",27090700104,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,Sahkar Nagar Lapka road Mouda,dnyangangacollege@gmail.com,Private Unaided (Recognized) ,Primary with Upper Primary,3-Co-educational,1–7,Urban,Operational,,,
1286,"SHIRDI SAI CONVENT, MOUDA",27090700105,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,"SHIVAJI NAGAR, RAMTEK ROAD , MOUDA",,Private Unaided (Recognized) ,Primary with Upper Primary,3-Co-educational,1–7,Urban,Operational,,,
1287,"JANTA VDY. ,MOUDA",27090700106,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,"at post , tah mouda dist - nagpur",kawalkar.harshal@gmail.com,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Urban,Operational,,,
1288,DR. BOBADE DNYANGANGA CONVENT MOUDA,27090700108,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,"Sahkar Nagar, lapka road mouda",dnyangangacollege@gmail.com,Private Unaided (Recognized) ,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Urban,Operational,,,
1289,"OXFORD ENGLISH SCHOOL , MOUDA",27090700110,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,SNEH NAGAR MOUDA THA MOUDA DIST NAGPUR,oxfordesm@gmail.com,Private Unaided (Recognized) ,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Urban,Operational,,,
1290,"JANATA PS, MOUDA",27090700111,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,At Mouda Tah.Mouda Dist. Nagpur 441104,jantapri.scl@gmail.com,Partially Govt. Aided,Primary,3-Co-educational,1–4,Urban,Operational,,,
1291,"SHIRDI SAI HS, MOUDA",27090700123,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,"SHIVAJI NAGAR, RAMTEK ROAD,MOUDA",shirdisaieducationmouda@gmail.com,Private Unaided (Recognized) ,Up. Pr. Secondary and Higher Sec,3-Co-educational,8–12,Urban,Operational,,,
1292,"JAGRUTI MATIMAND SCH ,MOUDA",27090700124,MAHARASHTRA,NAGPUR,MOUDA,"Z.P. P.S., MOUDA ",MOUDA,441104.0,LAPKA ROAD MOUDA TA. MOUDA DIST. NAGPUR,jagrutischool4@gmail.com,Other State Govt. Managed,Primary,3-Co-educational,1–5,Urban,Operational,,,
1293,"AAMNABI MADARSA SCH, MOUDA",27090700125,MAHARASHTRA,NAGPUR,MOUDA,,MOUDA,441104.0,NEAR PHC NEW MOUDA TAH MOUDA,,Madarsa Unrecognized,Primary with Upper Primary,3-Co-educational,1–7,Urban,Permanently Closed,,,
