Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1474,"Z.P. PS, GHATKUKDA",27090800101,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",GHATKUKDA,441105.0,post navegaon khairi tah parshioni dist nag,hmschoolghatkukda01@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Ghatkukada,Dhawlapur,Parseoni
1475,"Z.P. PS, GHATPENDHRI",27090800201,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",GHATPENDHRI,441105.0,post navegaon khairi tah parshioni dist nagpur,zp.schoolghatpendhari@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Ghatpendhari,Kolitmara,Parseoni
1476,"SHASKIY ASHRAM SCHOOL, KOLITMARA",27090800301,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",KOLITMARA,441105.0,"At. Kolitmara, Post- Navegaon Khairi, Tah. Parshioni, Dist- Nagpur",hmkolitmara@gmail.com,Tribal Welfare Department,Pr. Up Pr. and Secondary Only,3-Co-educational,1–10,Rural,Operational,Kolitmara,Kolitmara,Parseoni
1477,"Z.P. PS, NARHAR",27090800701,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",NARHAR,441105.0,post navegaon khairi tah par dist nag,ganeshshelke444@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Narhar(Rithi),Dhawlapur,Parseoni
1478,"MAHATMA PHULEL UPS, WANERA",27090800801,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",WANERA,441105.0,post navegaon khairi tah parshioni dist nag,nandeshwarthakare41@gmail.com,Other State Govt. Managed,Primary with Upper Primary,3-Co-educational,1–6,Rural,Operational,Banera,Dhawlapur,Parseoni
1479,"Z.P. PS, DHAWALAPUR",27090800901,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",DHAWALAPUR,441105.0,AT DHAWALAPUR PO NAVEGAON KHAIRI TA PARSEONI DIST NAGPUR STATE MAHARASHTRA,,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Dhawalapur,Dhawlapur,Parseoni
1480,"Z.P. PS, SALEGHAT",27090801101,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",SALEGHAT,441105.0,post navegaon tah parshioni dist nagpur,zppssaleghat@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Saleghat,Suwardara,Parseoni
1481,"Z.P. PS, AMBAZARI",27090801301,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",AMBAZARI,441105.0,post navegaon khairi tah parshioni dist nag,vijaymanekar30@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Ambazari,Suwardara,Parseoni
1482,"Z.P. PS, SHILADEVI",27090801601,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",SHILADEVI,441105.0,post navegaon khairi tah parshioni dist nagpur,ankushshevatre2017@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Shiladevi,Suwardara,Parseoni
1483,Z.P. PS SUWARDHARA,27090801801,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, DHAWALAPUR ",SUWARDHARA,441105.0,post navegaon khairi tah parshioni dist nag,kummakodwate@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Suwardhara,Suwardara,Parseoni
1484,Z.P.UPS. AWALEGHAT,27090802101,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",AAWALEGHAT,441105.0,AT. AWALEGHAT PO.NAVEGAON KHAIRI TAL.PARSEONI DIST.NAGPUR,zpupsawaleghat@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–8,Rural,Operational,Aawaleghat,Chargaon,Parseoni
1485,"Z.P. PS, CHARGAON",27090802201,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",CHARGAON,441105.0,post navegaon khairi tah parshioni dist nag,kamdeshionarayan@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Chargaon,Chargaon,Parseoni
1486,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI",27090802501,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",GHATKHAIRI,441105.0,at po navegaon khairi tah parshioni dis nag,kiranbhoyar1977@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Navegaon(Khairi),Navegaon(K),Parseoni
1487,"RASHTRIYA ADARSHA VID., NAVEGAON",27090802601,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",NAVEGAON,441105.0,At post Navegao Khairy Th. Parsioni Dist Nagpur,rajubarve9273@gmail.com,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Navegaon(Khairi),Navegaon(K),Parseoni
1488,"Z.P. PS, PENCH (BACHCHERA)",27090802701,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",BACHCHHERA,441105.0,post navrgaon khairi tah parshioni dist nag,zppspench@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bachhera,Chargaon,Parseoni
1489,"Z.P. PS, PALASWALI",27090802901,MAHARASHTRA,NAGPUR,PARSEONI,"Z.P. PS, KENDRIYA NAVEGAONKHAIRI ",PALASAWALI,441105.0,at.Palasawali. po.Navegaon Khairy. Parshiwani,pravinjadhao720@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Palasavali,Palasavali,Parseoni
