Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1069,"Z.P. UPS, MANSAR",27090600101,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",MANSAR,441401.0,AT MANSAR POST MANSAR TAH. RAMTEK DIS. NAGPUR,mansarzpups@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Mansar,Mansar,Ramtek
1070,"SHRI CHAKRADHAR SWAMI VIDYALAYA, MANSAR",27090600102,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",MANSAR,441401.0,MANSAR TAH-RAMTEK DIST-NAGPUR STATE-MAHARASHTRA,surekharaut.987@gmail.com,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Mansar,Mansar,Ramtek
1071,"RASHTRIYA ADARSH VIDYALAYA, MANSAR",27090600103,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",MANSAR,441401.0,MANSAR TA. RAMTEK DI.- NAGPUR,ravmansar1963@gmail.com,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Mansar,Mansar,Ramtek
1072,"PROVIDANCE ENGLISH SCH, MANSAR",27090600104,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",MANSAR,441401.0,"Providence School, Mansar, Ramtek Road, Nagpur Dist 441401",providenceschool7@gmail.com,Private Unaided (Recognized) ,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1–12,Rural,Operational,Mansar,Mansar,Ramtek
1073,"YASHODA MATIMAND MULAMULINCHI NIWASI SCHOOL, MANSAR",27090600105,MAHARASHTRA,NAGPUR,RAMTEK,,MANSAR,441401.0,,,Private Unaided (Recognized) ,Primary,3-Co-educational,1–5,Rural,Permanently Closed,Mansar,Mansar,Ramtek
1074,"Z.P. UPS, KANDRI",27090600201,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KANDRI,441401.0,AT KANDRI POST MANSAR TAH RAMTEK DIS NAGPUR,bhaskarjambhulkar4@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Kandri,Kandri,Ramtek
1075,"PRAKASH HIGH SCHOOL, KANDRI_x000D_
",27090600202,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KANDRI,441401.0,Kandri mine Ta.ramtrk Dist.Nagpur,milindwankhad@gmail.com,Other State Govt. Managed,Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,5–12,Rural,Operational,Kandri,Kandri,Ramtek
1076,"Z.P. PS, KANDRI (MINE)",27090600203,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",KANDRI,441401.0,AT KANDRIMINE POST MANSAR TAH RAMTEK,kavita101meshram@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Kandri,Kandri,Ramtek
1077,Z. P. PS HIWARA,27090600301,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",HIWARA,441401.0,At-Hiwara Kandri Po-Kandri Ta-Ramtek Dist-Nagpur,vinodsorte73@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Hiwara (Bende),Kandri,Ramtek
1078,"Z. P. PS, BONDRI",27090600401,MAHARASHTRA,NAGPUR,RAMTEK,"Z.P. UPS, MANSAR ",BONDRI,441401.0,"Bondri, Post- Kandri, Tah- Ramtek, Dist- Nagpur",zppsbondri1970@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Bondri,Kandri,Ramtek
