Sr No.,School Name,UDISE Code,State,District,Block,Cluster,Village,PIN Code,Address,Email,School Management,School Category,School Type,Classes From–To,Rural/Urban,School Status,LGD Village,LGD Panchayat,LGD Block
1244,"Z.P. PS, BHOJAPUR",27090400101,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",BHOJAPUR,441107.0,BHOJAPUR POST BAZARGAON TAHIL SAONER DIST NAGPUR,zpschoolbhojapur@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Bhojapur,Bazar Gaon,Saoner
1245,"Z.P. PS, PIPLA (KEWALRAM)",27090400201,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",PIPLA (KEWALRAM),441107.0,PIPLA KEVALRAM POST BAZARGAON TAHL SAONER DIST NAGPUR,zppschoolpiplak@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Pipla (Kewalram),Pipla(Kewalram),Saoner
1246,"Z.P. PS, TIKADI",27090400301,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",TIKADI,441107.0,TIKADI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppstikadi@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Tikadi,Pipla(Kewalram),Saoner
1247,"Z.P. PS, SURABARDI",27090400401,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",SURABARDI,441107.0,SURABARDI POST BAZARGAON TAHL SAONER DIST NAGPUR,zppssurabardi@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Surabardi,Pipla(Kewalram),Saoner
1248,"Z.P. PS, SONEGAON",27090400501,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",SONEGAON,441107.0,SONEGAON POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppsonegaon123@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sonegaon,Pipla(Kewalram),Saoner
1249,"Z.P. PS, DHANKHEDI",27090400601,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",DHANKHEDI,441107.0,DHANKHEDI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppsdhankhedi@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Dhankhedi,Bazar Gaon,Saoner
1250,"Z.P. PS, SANGAM",27090400701,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",SANGAM,441107.0,SANGAM POST BAZARGAON TAHIL SAONER DIST NAGPUR,zpschoolsangam@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sangam,Sangam,Saoner
1251,"Z.P. PS, CHORBAHULI",27090400801,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",CHORBAHULI,441107.0,CHORBAHULI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppschorbahuli@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Chorbahuli,Sangam,Saoner
1252,"Z.P. PS, SAWANGI",27090400901,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",SAWANGI,441107.0,SAWANGI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppssawangi123@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Sawangi,Sangam,Saoner
1253,"Z.P. UPS, KHANDALA",27090401001,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",KHANDALA,441107.0,KHANDALA POST BAZARGAON TAHIL SAONER DIST NAGPUR,zpupskhandala@gmail.com,Local Body,Primary with Upper Primary,3-Co-educational,1–7,Rural,Operational,Khandala,Khandala,Saoner
1254,"DR.RADHAKRISHNA HIGH SCHOOL, KHANDALA",27090401002,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",KHANDALA,441107.0,"Dr. Radhakrishnan Highschool Khandala, Post - Khandala, Tal - Saoner, Dist - Nagpur",radhakrishnanhighschool@gmail.com,Other State Govt. Managed,Pr. Up Pr. and Secondary Only,3-Co-educational,5–10,Rural,Operational,Khandala,Khandala,Saoner
1255,"Z.P. PS, DHAVALAPUR",27090401101,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",DHAVALAPUR,441107.0,DHAVALAPUR POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppsdhavlapur@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Dhawalapur,Dhawlapur,Saoner
1256,"Z.P. PS, TELKAMDHI",27090401201,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",TELKAMDHI,441107.0,TELKAMDHI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppstclkamdhi@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Telkamdhi,Telkamdhi,Saoner
1257,"Z.P. PS, KHAIRI",27090401301,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",KHAIRI,441107.0,KHAIRI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zpschoolkhairi1964@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Khairi,Telkamdhi,Saoner
1258,"Z.P. PS, NIMJI",27090401401,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",NIMJI,441107.0,NIMJI POST BAZARGAON TAHIL SAONER DIST NAGPUR,zpsnimji@gmail.com,Local Body,Primary,3-Co-educational,1–5,Rural,Operational,Nimji,Nimji,Saoner
1259,"Z.P. PS, MALANWADA",27090401501,MAHARASHTRA,NAGPUR,SAONER,"Z.P. PS, PIPLA (KEWALRAM) ",MALANWADA,441107.0,MALANWADA POST BAZARGAON TAHIL SAONER DIST NAGPUR,zppsmalanwada@gmail.com,Local Body,Primary,3-Co-educational,1–4,Rural,Operational,Malanwada,Nimji,Saoner
